BEST_BINDING_ENERGY;BEST_REFERENCE_RMSD;BEST_RUN;LIGAND_FILE;PROCESS_ID;RECEPTOR_REC;TYPE
-7.08;19.73;19;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3pr3_a.pdb;falciparum
-6.0;20.87;17;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3pr3_a.pdb;falciparum
-8.21;61.98;16;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3qgt_A.pdb;falciparum
-7.95;63.32;5;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3qgt_A.pdb;falciparum
-9.31;62.51;12;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3qgt_A.pdb;falciparum
-9.94;63.74;5;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3qgt_A.pdb;falciparum
-6.66;63.56;18;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3qgt_A.pdb;falciparum
-7.61;31.82;2;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3qs1_a.pdb;falciparum
-6.86;30.17;13;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3qs1_a.pdb;falciparum
-8.64;27.46;8;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3qs1_a.pdb;falciparum
-7.66;26.98;12;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3qs1_a.pdb;falciparum
-6.22;31.34;17;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3qs1_a.pdb;falciparum
-8.03;40.24;15;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3vi2_a.pdb;falciparum
-5.48;38.32;3;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3vi2_a.pdb;falciparum
-7.9;37.55;8;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3vi2_a.pdb;falciparum
-7.46;37.7;2;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3vi2_a.pdb;falciparum
-6.61;42.46;8;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;3vi2_a.pdb;falciparum
-9.36;223.24;14;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4j56_a.pdb;falciparum
-8.87;227.4;9;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4j56_a.pdb;falciparum
-10.72;225.44;11;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4j56_a.pdb;falciparum
-10.54;225.51;9;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4j56_a.pdb;falciparum
-7.0;224.76;11;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4j56_a.pdb;falciparum
-8.56;22.32;2;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4j75_a.pdb;falciparum
-8.49;21.22;17;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4j75_a.pdb;falciparum
-10.66;19.86;14;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4j75_a.pdb;falciparum
-10.26;19.53;16;5280863.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4j75_a.pdb;falciparum
-7.84;21.13;1;5281426.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4j75_a.pdb;falciparum
-8.46;27.65;17;10466307.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4jfa_a.pdb;falciparum
-3.27;29.12;1;161313.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4jfa_a.pdb;falciparum
30.69;27.01;4;5280343.pdbqt;eec9bf23-e448-46d4-bf41-79984f525c0d;4jfa_a.pdb;falciparum
